species,range,spore_size,have_data
Calymperes afzelii,22813719.59388971,NA,X
Calymperes erosum,12083548.07185825,NA,X
Chorisodontium aciphyllum,17146794.293112442,NA,X
Cinclidotus aquaticus,1672752.072920944,17.5,NA
Cinclidotus riparius,5151172.582437487,16,NA
Cnestrum schisti,9841729.755577706,13,NA
Dicranella cerviculata,13574575.407740152,19,NA
Dicranella heteromalla,21974430.308768902,14.5,NA
Dicranum flagellare,22777982.662211943,15,NA
Dicranum scoparium,35046923.381981574,17,NA
Encalypta alpina,22959574.070639852,16.5,NA
Encalypta longicollis,7018084.696770092,75,NA
Encalypta rhaptocarpa,45948527.78021995,18,NA
Encalypta streptocarpa,10418779.66118125,14,NA
Leucoloma serrulatum,6613885.8444423005,NA,X
Mittenia plumula,6417293.326022813,10,NA
Orthodicranum montanum,7690749.486949036,16,NA
Paraleucobryum longifolium,19772532.717819907,30.5,NA
Pleurochaete squarrosa,15052728.577324536,NA,X
Pleurophascum grandiglobum,336863.05506090284,46,NA
Schistostega pennata,13037718.392271942,10,NA
Serpotortella chenagonii,593959.017569382,37,NA
Sphagnum fallax,16451250.65876966,28.5,NA
Sphagnum girgensohnii,38607256.36613802,23.5,NA
Sphagnum palustre,26059087.521710664,29,NA
Sphagnum rubellum,23872209.99666705,25.5,NA
Syntrichia ruralis,46033697.787768036,13.5,NA
Syrrhopodon gardneri,13899648.758398157,NA,X
Tortula muralis,25494050.682667915,10,NA
Tortula truncata,15787595.309318312,30,NA
Trichostomum tenuirostre,25568339.74269896,16.5,NA
Weissia controversa,40879645.107449174,18,NA
