species,range
Calymperes afzelii,22813719.59388971
Calymperes erosum,12083548.07185825
Chorisodontium aciphyllum,17146794.293112442
Cinclidotus aquaticus,1672752.072920944
Cinclidotus riparius,5151172.582437487
Cnestrum schisti,9841729.755577706
Dicranella cerviculata,13574575.407740152
Dicranella heteromalla,21974430.308768902
Dicranum flagellare,22777982.662211943
Dicranum scoparium,35046923.381981574
Encalypta alpina,22959574.070639852
Encalypta longicollis,7018084.696770092
Encalypta rhaptocarpa,45948527.78021995
Encalypta streptocarpa,10418779.66118125
Leucoloma serrulatum,6613885.8444423005
Mittenia plumula,6417293.326022813
Orthodicranum montanum,7690749.486949036
Paraleucobryum longifolium,19772532.717819907
Pleurochaete squarrosa,15052728.577324536
Pleurophascum grandiglobum,336863.05506090284
Schistostega pennata,13037718.392271942
Serpotortella chenagonii,593959.017569382
Sphagnum fallax,16451250.65876966
Sphagnum girgensohnii,38607256.36613802
Sphagnum palustre,26059087.521710664
Sphagnum rubellum,23872209.99666705
Syntrichia ruralis,46033697.787768036
Syrrhopodon gardneri,13899648.758398157
Tortula muralis,25494050.682667915
Tortula truncata,15787595.309318312
Trichostomum tenuirostre,25568339.74269896
Weissia controversa,40879645.107449174
