species,spore_size,have_data
Sphagnum_rubellum,25.5,
Sphagnum_fallax,28.5,
Sphagnum_palustre,29,
Sphagnum_girgensohnii,23.5,
Calymperes_erosum,NA,X
Calymperes_afzelii,NA,X
Syrrhopodon_gardneri,NA,X
Leucoloma_serrulatum,NA,X
Mittenia_plumula,10,
Dicranum_flagellare,15,
Orthodicranum_montanum,16,
Paraleucobryum_longifolium,30.5,
Dicranum_scoparium,17,
Chorisodontium_aciphyllum,NA,X
Serpotortella_chenagonii,37,
Tortula_muralis,10,
Tortula_truncata,30,
Cinclidotus_aquaticus,17.5,
Cinclidotus_riparius,16,
Pleurochaete_squarrosa,NA,X
Trichostomum_tenuirostre,16.5,
Weissia_controversa,18,
Syntrichia_ruralis,13.5,
Dicranella_cerviculata,19,
Dicranella_heteromalla,14.5,
Cnestrum_schisti,13,
Schistostega_pennata,10,
Pleurophascum_grandiglobum,46,
Encalypta_streptocarpa,14,
Encalypta_longicollis,75,
Encalypta_alpina,16.5,
Encalypta_rhaptocarpa,18,
